,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_market_index_change(t_1)_ratio_1d,stat_market_index_1d,stat_vix_change(t_1)_ratio_1d,stat_vix_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_gold_futures_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_treasuries_20years_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_russel_2000_1d,stat_Vola(22)_1d,stat_Beta(22)_1d,stat_ATR_1d,stat_bollinger_bands_upper_1d,stat_bollinger_bands_lower_1d,stat_open_over_lower_BB_ratio_1d,stat_ATR,stat_bollinger_bands_upper,stat_bollinger_bands_lower,stat_open_over_lower_BB_ratio,duration
0,AAPL,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,47.00164315619836,-1,US-AAPL-20190322-093000,2019-07-31 09:30:00-04:00,52.3005,0,Stop Loss at Open,True,0,-0.11273769357790736,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,131
1,MSFT,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,113.72269420923918,-1,US-MSFT-20190322-093000,2019-04-30 09:30:00-04:00,124.3482,0,Stop loss at daily close,True,0,-0.09343346870775752,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,39
2,NVDA,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,45.38820217173515,-1,US-NVDA-20190322-093000,2019-09-18 09:30:00-04:00,44.7959,0,Max holding days touched,True,1,0.013049694488758501,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,180
3,GOOG,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,61.33133089256287,1,US-GOOG-20190322-093000,2019-05-30 09:30:00-04:00,55.7631,0,Stop Loss at Open,True,0,-0.09078933738315596,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,69
4,AMZN,US,2019-03-25 09:30:00-04:00,2019-03-25 09:30:00-04:00,87.91147585487367,1,US-AMZN-20190325-093000,2019-09-23 09:30:00-04:00,89.2427,0,Max holding days touched,True,1,0.015142780077130586,,,0,0,False,0,-0.0189745012394827,-0.0189745012394827,0.2090975351332424,0.2090975351332424,0.0042110099554459,0.0042110099554459,0.0155344631267817,0.0155344631267817,-0.0361556755260048,-0.0361556755260048,,,,,,,,,,,182
5,MSFT,US,2019-05-02 09:30:00-04:00,2019-05-02 09:30:00-04:00,121.85365329374956,1,US-MSFT-20190502-093000,2019-10-29 09:30:00-04:00,136.8822,0,Max holding days touched,True,1,0.1233327544970811,,,0,0,False,0,-0.0075021630814213,-0.0075021630814213,0.1280488048650765,0.1280488048650765,-0.0010913816345279,-0.0010913816345279,0.0041250932352936,0.0041250932352936,-0.0093199240947122,-0.0093199240947122,0.1565385553806516,-823.8113652008858,1.7238082662929368,110.04860788119156,124.91269277798814,0.9752667626091188,1.7238082662929375,110.0486078811916,124.9126927779881,0.9752667626091193,180
6,GOOG,US,2019-06-03 09:30:00-04:00,2019-06-03 09:30:00-04:00,53.28832027626038,1,US-GOOG-20190603-093000,2019-12-02 09:30:00-05:00,64.4799,0,Max holding days touched,True,1,0.2100193750848139,,,0,0,False,0,-0.0131953728084784,-0.0131953728084784,0.0815028849476229,0.0815028849476229,0.0145288428225434,0.0145288428225434,0.0125194792371021,0.0125194792371021,-0.0134901608633151,-0.0134901608633151,0.2322699838262244,27.524237185015703,1.1199260207444446,55.075092622848665,59.85540817060837,0.8900616193949752,1.1199260207444446,55.075092622848665,59.855408170608364,0.8900616193949752,182
7,AAPL,US,2019-08-05 09:30:00-04:00,2019-08-05 09:30:00-04:00,47.822737324853456,-1,US-AAPL-20190805-093000,2019-09-10 09:30:00-04:00,52.5671,0,Stop loss at daily close,True,0,-0.09920725873382627,,,0,0,False,0,-0.0072827399270378,-0.0072827399270378,-0.0145495364673406,-0.0145495364673406,0.0173833139189794,0.0173833139189794,0.0092418096797957,0.0092418096797957,-0.0110268355375774,-0.0110268355375774,0.1995647475094892,3.7464130149753534,1.0751770048469336,48.12454958834117,51.27733334622914,0.9328623950833992,1.0751770048469336,48.12454958834116,51.27733334622915,0.9328623950833991,36
8,AAPL,US,2019-09-11 09:30:00-04:00,2019-09-11 09:30:00-04:00,52.87300710366248,-1,US-AAPL-20190911-093000,2019-10-21 09:30:00-04:00,58.3429,0,Stop loss at daily close,True,0,-0.10345341027442004,,,0,0,False,0,0.0003223043548219,0.0003223043548219,-0.004584194263265,-0.004584194263265,-0.0079216500669346,-0.0079216500669346,-0.0175277387607348,-0.0175277387607348,0.0114024819781248,0.0114024819781248,0.3014087786385562,70.98410579445157,1.134781499161005,48.61827032953492,52.6248983106018,1.0049659069872867,1.134781499161005,48.61827032953491,52.62489831060181,1.0049659069872867,40
9,NVDA,US,2019-09-19 09:30:00-04:00,2019-09-19 09:30:00-04:00,44.8556454150892,1,US-NVDA-20190919-093000,2020-03-17 09:30:00-04:00,54.1224,0,Max holding days touched,True,1,0.20659059744113084,,,0,0,False,0,0.0003426919897555,0.0003426919897555,-0.0339335031410823,-0.0339335031410823,0.001594594680083,0.001594594680083,0.0042436166576154,0.0042436166576154,-0.0063043376033076,-0.0063043376033076,0.436954917602256,29.35735559181134,1.2967839947405808,39.15078778453312,47.295969341321374,0.9481660896488496,1.2967839947405808,39.15078778453308,47.29596934132141,0.948166089648849,180
