,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_market_index_change(t_1)_ratio_1d,stat_market_index_1d,stat_vix_change(t_1)_ratio_1d,stat_vix_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_gold_futures_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_treasuries_20years_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_russel_2000_1d,stat_Vola(22)_1d,stat_Beta(22)_1d,stat_ATR_1d,stat_bollinger_bands_upper_1d,stat_bollinger_bands_lower_1d,stat_open_over_lower_BB_ratio_1d,stat_ATR,stat_bollinger_bands_upper,stat_bollinger_bands_lower,stat_open_over_lower_BB_ratio,duration
0,AAPL,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,47.00164315619836,-1,US-AAPL-20190322-093000,2019-05-24 09:30:00-04:00,43.2523,1,Take Profit at Close,True,1,0.07977046980545653,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,63
1,MSFT,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,113.72269420923918,-1,US-MSFT-20190322-093000,2019-09-18 09:30:00-04:00,132.8181,0,Max holding days touched,True,0,-0.1679120066890698,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,180
2,AMZN,US,2019-03-25 09:30:00-04:00,2019-03-25 09:30:00-04:00,87.86753110313416,-1,US-AMZN-20190325-093000,2019-09-23 09:30:00-04:00,89.2873,0,Max holding days touched,True,0,-0.01615806065154373,,,0,0,False,0,-0.0189745012394827,-0.0189745012394827,0.2090975351332424,0.2090975351332424,0.0042110099554459,0.0042110099554459,0.0155344631267817,0.0155344631267817,-0.0361556755260048,-0.0361556755260048,,,,,,,,,,,182
3,GOOG,US,2019-03-28 09:30:00-04:00,2019-03-28 09:30:00-04:00,58.56235541439057,-1,US-GOOG-20190328-093000,2019-06-03 09:30:00-04:00,53.2883,1,Take Profit at Open,True,1,0.09005879932716247,,,0,0,False,0,-0.0046443248906916,-0.0046443248906916,0.0320163013340526,0.0320163013340526,-0.0033478081492773,-0.0033478081492773,0.0092023971837744,0.0092023971837744,-0.0038870435264042,-0.0038870435264042,,,,,,,,,,,67
4,NVDA,US,2019-03-29 09:30:00-04:00,2019-03-29 09:30:00-04:00,44.690654674923806,1,US-NVDA-20190329-093000,2019-09-25 09:30:00-04:00,44.3382,0,Max holding days touched,True,0,-0.00788654087722662,,,0,0,False,0,0.003589481529391,0.003589481529391,-0.0475247083487609,-0.0475247083487609,-0.0153446638761065,-0.0153446638761065,0.0034883854774288,0.0034883854774288,0.0084546982271525,0.0084546982271525,,,,,,,,,,,180
5,AAPL,US,2019-05-28 09:30:00-04:00,2019-05-28 09:30:00-04:00,43.21654106100358,-1,US-AAPL-20190528-093000,2019-11-25 09:30:00-05:00,64.8101,0,Max holding days touched,True,0,-0.4996595842438061,,,0,0,False,0,0.0013535590072402,0.0013535590072402,-0.0632387523640357,-0.0632387523640357,-0.0014010342152204,-0.0014010342152204,0.0008615434534984,0.0008615434534984,0.0084788530734054,0.0084788530734054,0.3357680763376433,1.1393416171426176,1.2575551592209313,42.12941415297696,52.02794859421542,0.8308485932267603,1.2575551592209315,42.12941415297696,52.02794859421542,0.8308485932267603,181
6,GOOG,US,2019-06-05 09:30:00-04:00,2019-06-05 09:30:00-04:00,52.59014391422272,1,US-GOOG-20190605-093000,2019-07-10 09:30:00-04:00,56.7832,1,Take Profit at Close,True,1,0.07973083497577746,,,0,0,False,0,0.0214323705681931,0.0214323705681931,-0.1002121546040522,-0.1002121546040522,0.0005292759265373,0.0005292759265373,-0.0114016875466311,-0.0114016875466311,0.0262453085331797,0.0262453085331797,0.3098089565486435,59.79750305090456,1.3106247699375828,53.11202259723236,60.3909280711026,0.8706108904702365,1.3106247699375828,53.11202259723237,60.39092807110259,0.8706108904702367,35
7,GOOG,US,2019-07-11 09:30:00-04:00,2019-07-11 09:30:00-04:00,57.17678909873962,1,US-GOOG-20190711-093000,2019-07-26 09:30:00-04:00,61.7355,1,Take Profit at Close,True,1,0.07973009630512591,,,0,0,False,0,0.0045106896075925,0.0045106896075925,-0.0752306890090424,-0.0752306890090424,0.0090160827090786,0.0090160827090786,-0.0055071175474215,-0.0055071175474215,0.0015743624761606,0.0015743624761606,0.1618798724035922,5.72686937707264,0.9606180836241576,53.262477262394725,57.065023271662895,1.001708142691788,0.9606180836241576,53.26247726239472,57.0650232716629,1.0017081426917878,15
8,GOOG,US,2019-07-30 09:30:00-04:00,2019-07-30 09:30:00-04:00,61.255182558059694,-1,US-GOOG-20190730-093000,2020-01-27 09:30:00-05:00,71.7129,0,Max holding days touched,True,0,-0.17072379846436894,,,0,0,False,0,-0.0016161146071345,-0.0016161146071345,0.0550986911760968,0.0550986911760968,0.000775449831468,0.000775449831468,0.0003035310543124,0.0003035310543124,-0.0062952061094763,-0.0062952061094763,0.372182415026738,11.77934970471718,1.2681546579073806,53.6577036510196,60.86164601939056,1.0067177638209892,1.268154657907381,53.657703651019595,60.861646019390555,1.0067177638209892,181
9,MSFT,US,2019-09-19 09:30:00-04:00,2019-09-19 09:30:00-04:00,134.4576078882737,-1,US-MSFT-20190919-093000,2020-03-17 09:30:00-04:00,141.4001,0,Max holding days touched,True,0,-0.05163331566552258,,,0,0,False,0,0.0003426919897555,0.0003426919897555,-0.0339335031410823,-0.0339335031410823,0.001594594680083,0.001594594680083,0.0042436166576154,0.0042436166576154,-0.0063043376033076,-0.0063043376033076,0.1996970675727579,264.95199855770755,2.248430963264313,128.56782279055446,134.30930046994357,1.0013545616377093,2.248430963264313,128.56782279055525,134.30930046994277,1.001354561637715,180
